"","Inst","Price_OF","Price_IF","Reten","SF_Ratio","Men","Wom"
"85","Helms College",22534,22534,82,10,101,155
"86","Herzing University-Atlanta",29195,29195,23,15,145,448
"88","Interactive College of Technology-Chamblee",20230,20230,63,23,383,153
"89","Interactive College of Technology-Gainesville",20110,20110,47,12,19,44
"90","Interactive College of Technology-Morrow",20110,20110,43,10,7,28
"97","Kennesaw State University",36755,25773,78,21,17294,15651
"99","LaGrange College",45460,45460,65,11,456,481
"101","Lanier Technical College",15775,13105,57,14,1654,2027
"103","Life University",38115,38115,59,13,348,407
"105","Luther Rice College & Seminary",24480,24480,0,22,208,104
"107","Mercer University",52198,52198,86,13,1789,2958
"109","Middle Georgia State University",28993,21825,65,19,3033,4188
"110","Miller-Motte Technical College-Augusta",28469,28469,46,17,115,359
"111","Miller-Motte Technical College-Columbus",27349,27349,52,24,130,512
"112","Miller-Motte Technical College-Macon",28429,28429,43,20,62,366
"113","Morehouse College",48723,48723,84,12,2202,0
"117","North Georgia Technical College",15449,13313,60,15,1034,1664
"118","Oconee Fall Line Technical College",10975,8839,58,9,518,934
"119","Ogeechee Technical College",14110,11974,69,13,615,1369
"120","Oglethorpe University",54740,54740,77,16,514,736
"122","Paine College",24912,24912,48,10,184,242
"125","Piedmont College",38054,38054,67,10,434,847
"126","Point University",30400,30400,52,15,884,1042
"129","Reformed University",20000,20000,67,14,55,62
"130","Reinhardt University",37482,37482,59,12,742,666
"134","Savannah College of Art and Design",52952,52952,83,20,3475,7199
"136","Savannah State University",27620,17159,58,17,1691,2548
"137","Savannah Technical College",18420,16284,54,16,1590,2345
"138","Shorter University",39881,39881,53,14,604,799
"139","Shorter University-College of Adult & Professional Programs",24635,24635,50,14,24,89
"141","South Georgia Technical College",14480,12344,70,16,880,970
"143","South University-Savannah",30454,30454,14,10,186,311
"144","South University–Savannah Online",28903,28903,30,16,844,3212
"145","Southeastern Technical College",16305,14169,55,11,506,1207
"146","Southern Crescent Technical College",16650,14516,59,19,1513,3243
"147","Southern Regional Technical College",13295,11159,56,13,1363,2521
"148","Spelman College",51642,51642,89,11,0,2137
"149","Strayer University-Georgia",28626,28626,56,33,1381,4149
"150","The Art Institute of Atlanta",31030,31030,26,21,844,738
"151","The Creative Circus",35866,35866,63,5,100,127
"152","Thomas University",25460,25460,54,11,406,712
"153","Toccoa Falls College",34894,34894,66,15,585,826
"155","Truett McConnell University",31980,31980,68,19,1136,1437
"157","University of Georgia",43414,24840,95,17,12464,16384
"158","University of North Georgia",26314,17901,81,19,7961,10212
"159","University of Phoenix-Georgia",21266,21266,33,9,179,229
"160","University of West Georgia",32410,21626,72,20,4130,7099
"161","Valdosta State University",32778,21992,69,20,3377,5401
"167","Wesleyan College",34330,34330,67,7,13,551
"168","West Georgia Technical College",15151,13015,60,17,2355,4327
"169","Wiregrass Georgia Technical College",12938,10802,61,13,1498,2438
"171","Young Harris College",36268,36268,65,11,492,710
